hair	feathers	eggs	milk	airborne	aquatic	predator	toothed	backbone	breathes	venomous	fins	legs	tail	domestic	catsize	type	name
discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	string
																class	meta
1	0	0	1	0	0	1	1	1	1	0	0	4	0	0	1	mammal	aardvark
1	0	0	1	0	0	0	1	1	1	0	0	4	1	0	1	mammal	antelope
0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	fish	bass
1	0	0	1	0	0	1	1	1	1	0	0	4	1	0	1	mammal	boar
1	0	0	1	0	0	0	1	1	1	0	0	4	1	1	1	mammal	calf
0	0	1	0	0	1	0	1	1	0	0	1	0	1	1	0	fish	carp
1	0	0	1	0	0	0	1	1	1	0	0	4	0	1	0	mammal	cavy
0	1	1	0	1	0	0	0	1	1	0	0	2	1	1	0	bird	chicken
0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	invertebrate	clam
0	0	1	0	0	1	1	0	0	0	0	0	4	0	0	0	invertebrate	crab
0	0	1	0	0	1	1	0	0	0	0	0	6	0	0	0	invertebrate	crayfish
0	1	1	0	1	0	1	0	1	1	0	0	2	1	0	0	bird	crow
0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	1	fish	dogfish
0	0	0	1	0	1	1	1	1	1	0	1	0	1	0	1	mammal	dolphin
0	1	1	0	1	1	0	0	1	1	0	0	2	1	0	0	bird	duck
0	1	1	0	1	0	0	0	1	1	0	0	2	1	0	1	bird	flamingo
0	0	1	0	0	0	0	0	0	1	0	0	6	0	0	0	insect	flea
0	0	1	0	0	1	1	1	1	1	0	0	4	0	0	0	amphibian	frog
0	0	1	0	0	1	1	1	1	1	1	0	4	0	0	0	amphibian	frog
1	0	0	1	1	0	0	1	1	1	0	0	2	1	0	0	mammal	fruitbat
1	0	0	1	0	0	1	1	1	1	0	0	2	0	1	1	mammal	girl
0	0	1	0	1	0	0	0	0	1	0	0	6	0	0	0	insect	gnat
1	0	0	1	0	0	0	1	1	1	0	0	2	0	0	1	mammal	gorilla
0	1	1	0	1	1	1	0	1	1	0	0	2	1	0	0	bird	gull
0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	fish	haddock
1	0	0	1	0	0	0	1	1	1	0	0	4	1	1	0	mammal	hamster
1	0	0	1	0	0	0	1	1	1	0	0	4	1	0	0	mammal	hare
1	0	1	0	1	0	0	0	0	1	1	0	6	0	1	0	insect	honeybee
1	0	1	0	1	0	0	0	0	1	0	0	6	0	0	0	insect	housefly
0	1	1	0	0	0	1	0	1	1	0	0	2	1	0	0	bird	kiwi
0	0	1	0	1	0	1	0	0	1	0	0	6	0	0	0	insect	ladybird
0	1	1	0	1	0	0	0	1	1	0	0	2	1	0	0	bird	lark
1	0	0	1	0	1	1	1	1	1	0	0	4	1	0	1	mammal	mink
1	0	0	1	0	0	1	1	1	1	0	0	4	1	0	0	mammal	mole
0	0	1	0	0	1	1	1	1	1	0	0	4	1	0	0	amphibian	newt
0	0	1	0	0	1	1	0	0	0	0	0	8	0	0	1	invertebrate	octopus
0	1	1	0	0	0	0	0	1	1	0	0	2	1	0	1	bird	ostrich
0	1	1	0	0	1	1	0	1	1	0	0	2	1	0	1	bird	penguin
0	0	1	0	0	0	1	1	1	1	1	0	0	1	0	0	reptile	pitviper
1	0	1	1	0	1	1	0	1	1	0	0	4	1	0	1	mammal	platypus
1	0	0	1	0	0	1	1	1	1	0	0	4	1	1	1	mammal	pussycat
0	1	1	0	0	0	1	0	1	1	0	0	2	1	0	1	bird	rhea
0	0	0	0	0	0	1	0	0	1	1	0	8	1	0	0	invertebrate	scorpion
1	0	0	1	0	1	1	1	1	1	0	1	0	0	0	1	mammal	seal
1	0	0	1	0	1	1	1	1	1	0	1	2	1	0	1	mammal	sealion
0	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	reptile	seasnake
0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	invertebrate	seawasp
0	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	reptile	slowworm
0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	invertebrate	slug
1	0	0	1	0	0	0	1	1	1	0	0	2	1	0	0	mammal	squirrel
0	0	1	0	0	1	1	0	0	0	0	0	5	0	0	0	invertebrate	starfish
0	0	1	0	0	1	1	1	1	0	1	1	0	1	0	1	fish	stingray
0	1	1	0	1	1	0	0	1	1	0	0	2	1	0	1	bird	swan
0	0	1	0	0	1	0	1	1	1	0	0	4	0	0	0	amphibian	toad
0	0	1	0	0	0	0	0	1	1	0	0	4	1	0	1	reptile	tortoise
0	0	1	0	0	0	1	1	1	1	0	0	4	1	0	0	reptile	tuatara
0	1	1	0	1	0	1	0	1	1	0	0	2	1	0	1	bird	vulture
1	0	0	1	0	0	0	1	1	1	0	0	2	1	0	1	mammal	wallaby
1	0	1	0	1	0	0	0	0	1	1	0	6	0	0	0	insect	wasp
